sample	Chloroquine	Pyrimethamine	Sulfadoxine	Mefloquine	Artemisinin	Piperaquine	SP (uncomplicated)	SP (IPTp)	AS-MQ	DHA-PPQ
FP0008-C	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0009-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0010-CW	Undetermined	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0011-CW	Undetermined	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0012-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0013-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0014-CW	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
FP0015-C	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0016-C	Undetermined	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0017-C	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0018-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0019-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0020-C	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0021-C	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0022-C	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0023-C	Resistant	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0024-C	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0025-C	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
FP0028-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0029-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0030-C	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0031-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0032-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0033-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0034-C	Undetermined	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0035-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0037-CW	Undetermined	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0038-C	Resistant	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0039-C	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
FP0040-C	Undetermined	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0041-C	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0042-C	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
FP0043-C	Resistant	Undetermined	Resistant	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
FP0044-C	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
FP0045-CW	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
FP0046-C	Sensitive	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0047-C	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
FP0048-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0050-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0051-C	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
FP0052-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0054-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0055-C	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0056-C	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0057-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0058-C	Undetermined	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0059-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0061-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0062-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0063-C	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0065-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0066-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
FP0067-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
