Encoded_feature,Source_variable,Mean_abs_SHAP
Year,Year,0.48785746
Fws,Fws,0.17181754
crt_72[C]=-,crt_72[C],0.0
crt_72[C]=C,crt_72[C],0.0
"crt_72[C]=C,S",crt_72[C],0.0
"crt_72[C]=C,Y",crt_72[C],0.0
crt_72[C]=Y,crt_72[C],0.0
crt_74[M]=-,crt_74[M],0.0
crt_74[M]=I,crt_74[M],0.0
"crt_74[M]=I,M",crt_74[M],0.0025874746
crt_74[M]=M,crt_74[M],0.0
"crt_74[M]=M,I",crt_74[M],0.0
crt_75[N]=-,crt_75[N],0.0
crt_75[N]=D,crt_75[N],0.0040109246
"crt_75[N]=D,E",crt_75[N],0.0
"crt_75[N]=D,N",crt_75[N],0.0
crt_75[N]=E,crt_75[N],0.0073984973
"crt_75[N]=E,D",crt_75[N],0.0
"crt_75[N]=E,K",crt_75[N],0.0
"crt_75[N]=E,N",crt_75[N],0.0
crt_75[N]=N,crt_75[N],0.0
"crt_75[N]=N,D",crt_75[N],0.0
"crt_75[N]=N,E",crt_75[N],0.0
crt_76[K]=-,crt_76[K],0.0
crt_76[K]=K,crt_76[K],0.0
"crt_76[K]=K,T",crt_76[K],0.0
crt_76[K]=T,crt_76[K],0.0
"crt_76[K]=T,K",crt_76[K],0.0
"crt_76[K]=T,Q",crt_76[K],0.0
"crt_76[K]=T,Q*",crt_76[K],0.0
crt_72-76[CVMNK]=-,crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CIIET,CVIET",crt_72-76[CVMNK],0.0
crt_72-76[CVMNK]=CVIDT,crt_72-76[CVMNK],0.000673375
"crt_72-76[CVMNK]=CVIDT,CVIET",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVIDT,CVMNK",crt_72-76[CVMNK],0.0
crt_72-76[CVMNK]=CVIET,crt_72-76[CVMNK],0.015998079
"crt_72-76[CVMNK]=CVIET,CIIET",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVIET,CVIDT",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVIET,CVMEK",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVIET,CVMKQ",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVIET,CVMKQ*",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVIET,CVMNK",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVIET,CVMNK*",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVIET,SVMNT*",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVIET,YVIET",crt_72-76[CVMNK],0.0
crt_72-76[CVMNK]=CVMNK,crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVMNK,CVIDT",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVMNK,CVIDT*",crt_72-76[CVMNK],0.0
"crt_72-76[CVMNK]=CVMNK,CVIET",crt_72-76[CVMNK],0.0
crt_72-76[CVMNK]=YVIET,crt_72-76[CVMNK],0.0
crt_93[T]=-,crt_93[T],0.0
crt_93[T]=I,crt_93[T],0.0
crt_93[T]=S,crt_93[T],0.091145255
"crt_93[T]=S,L",crt_93[T],0.0
"crt_93[T]=S,T",crt_93[T],0.0
crt_93[T]=T,crt_93[T],0.026482338
"crt_93[T]=T,S",crt_93[T],0.0
crt_97[H]=-,crt_97[H],0.0
crt_97[H]=H,crt_97[H],0.0073547205
"crt_97[H]=H,H",crt_97[H],0.0
"crt_97[H]=H,L",crt_97[H],0.0
"crt_97[H]=H,Y",crt_97[H],0.0
crt_97[H]=L,crt_97[H],0.004710744
crt_97[H]=Y,crt_97[H],0.02217215
"crt_97[H]=Y,H",crt_97[H],0.0
"crt_97[H]=Y,Y",crt_97[H],0.0
crt_218[I]=-,crt_218[I],0.018306866
crt_218[I]=F,crt_218[I],0.0059165903
"crt_218[I]=F,I",crt_218[I],0.0
crt_218[I]=I,crt_218[I],0.031160736
"crt_218[I]=I,F",crt_218[I],0.0
crt_220[A]=-,crt_220[A],0.043382045
crt_220[A]=A,crt_220[A],0.002012743
"crt_220[A]=A,S",crt_220[A],0.0
crt_220[A]=S,crt_220[A],0.0028854052
"crt_220[A]=S,A",crt_220[A],0.0
crt_271[Q]=-,crt_271[Q],0.0
crt_271[Q]=E,crt_271[Q],0.0011179921
"crt_271[Q]=E,",crt_271[Q],0.0
"crt_271[Q]=E,Q",crt_271[Q],0.0020932264
crt_271[Q]=Q,crt_271[Q],0.0
"crt_271[Q]=Q,E",crt_271[Q],0.0
crt_326[N]=-,crt_326[N],0.003913693
crt_326[N]=N,crt_326[N],0.028744143
"crt_326[N]=N,S",crt_326[N],0.0
crt_326[N]=S,crt_326[N],0.030140445
"crt_326[N]=S,N",crt_326[N],9.0608206e-05
crt_333[T]=-,crt_333[T],0.0003868023
crt_333[T]=S,crt_333[T],0.00046191845
"crt_333[T]=S,T",crt_333[T],0.0
crt_333[T]=T,crt_333[T],0.00018935128
"crt_333[T]=T,S",crt_333[T],0.0
crt_353[G]=-,crt_353[G],0.0
crt_353[G]=G,crt_353[G],0.00042540557
"crt_353[G]=G,V",crt_353[G],0.0
crt_353[G]=V,crt_353[G],0.002543073
"crt_353[G]=V,G",crt_353[G],0.0
crt_356[I]=-,crt_356[I],0.0
crt_356[I]=I,crt_356[I],0.15886845
"crt_356[I]=I,T",crt_356[I],0.0
crt_356[I]=T,crt_356[I],0.19500202
"crt_356[I]=T,I",crt_356[I],0.0
crt_371[R]=-,crt_371[R],0.0
crt_371[R]=I,crt_371[R],0.0014690919
"crt_371[R]=I,R",crt_371[R],0.0
crt_371[R]=R,crt_371[R],0.013813643
"crt_371[R]=R,I",crt_371[R],0.0
dhfr_16[N]=-,dhfr_16[N],0.0
dhfr_16[N]=A,dhfr_16[N],0.0
"dhfr_16[N]=A,S",dhfr_16[N],0.0
dhfr_51[N]=-,dhfr_51[N],0.0
dhfr_51[N]=I,dhfr_51[N],0.043385528
"dhfr_51[N]=I,N",dhfr_51[N],0.0
dhfr_51[N]=N,dhfr_51[N],0.05247085
"dhfr_51[N]=N,I",dhfr_51[N],0.0
dhfr_59[C]=-,dhfr_59[C],0.0
dhfr_59[C]=C,dhfr_59[C],0.0
"dhfr_59[C]=C,R",dhfr_59[C],0.0
dhfr_59[C]=R,dhfr_59[C],0.0
"dhfr_59[C]=R,C",dhfr_59[C],0.0
dhfr_108[S]=-,dhfr_108[S],0.0
dhfr_108[S]=N,dhfr_108[S],0.0
"dhfr_108[S]=N,S",dhfr_108[S],0.0
dhfr_108[S]=S,dhfr_108[S],0.0
"dhfr_108[S]=S,N",dhfr_108[S],0.0
dhfr_164[I]=-,dhfr_164[I],0.0
dhfr_164[I]=I,dhfr_164[I],0.015011188
"dhfr_164[I]=I,L",dhfr_164[I],0.0024825258
dhfr_164[I]=L,dhfr_164[I],0.012964504
"dhfr_164[I]=L,I",dhfr_164[I],0.0007795511
dhfr_306[S]=-,dhfr_306[S],0.0
dhfr_306[S]=S,dhfr_306[S],0.0
dhps_436[S]=-,dhps_436[S],0.0
dhps_436[S]=A,dhps_436[S],0.046831705
"dhps_436[S]=A,F",dhps_436[S],0.0
"dhps_436[S]=A,S",dhps_436[S],0.0
dhps_436[S]=C,dhps_436[S],0.0
dhps_436[S]=F,dhps_436[S],0.0003478983
