Source_variable,Mean_abs_SHAP
exo_415[E],1.2289913
arps10_127-128[VD],0.6119619
Year,0.4794133
dhps_540[K],0.47374064
mdr1_184[Y],0.35164654
crt_356[I],0.35096952
fd_193[D],0.2988491
mdr2_484[T],0.22380963
Fws,0.15695831
pm2_dup_call,0.14875628
crt_93[T],0.1108748
dhfr_51[N],0.09351964
mdr1_dup_call,0.081092864
dhps_581[A],0.07934664
dhps_436[S],0.070368364
crt_326[N],0.058275968
crt_218[I],0.05481401
mdr1_1226[F],0.0501273
dhfr_164[I],0.04192877
crt_220[A],0.0417188
crt_97[H],0.03742312
dhps_613[A],0.020419735
dhps_437[G],0.019381825
crt_72-76[CVMNK],0.01829408
crt_371[R],0.015138507
crt_75[N],0.01114675
mdr1_86[N],0.010338685
mdr1_1034[S],0.0048499396
crt_353[G],0.004233599
crt_271[Q],0.0038900243
crt_74[M],0.0024757553
crt_333[T],0.0017265703
mdr1_1042[N],0.0011861343
mdr1_1246[D],0.00025745592
crt_72[C],0.00014986265
dhfr_59[C],0.0
crt_76[K],0.0
dhfr_306[S],0.0
dhfr_16[N],0.0
dhfr_108[S],0.0
