Source_variable,Mean_abs_SHAP
exo_415[E],1.2064438
arps10_127-128[VD],0.5941022
dhps_540[K],0.49706903
Year,0.48785746
mdr1_184[Y],0.38980538
crt_356[I],0.35387045
fd_193[D],0.2956517
mdr2_484[T],0.2241551
Fws,0.17181754
pm2_dup_call,0.13879217
crt_93[T],0.11762759
mdr1_dup_call,0.10132553
dhfr_51[N],0.09585638
dhps_436[S],0.08947968
dhps_581[A],0.07732466
crt_326[N],0.06288889
mdr1_1226[F],0.057599057
crt_218[I],0.055384193
crt_220[A],0.048280194
crt_97[H],0.034237616
dhfr_164[I],0.031237768
dhps_613[A],0.019162605
crt_72-76[CVMNK],0.016671453
crt_371[R],0.015282734
crt_75[N],0.011409422
mdr1_86[N],0.009238874
dhps_437[G],0.005117002
mdr1_1034[S],0.004295823
crt_271[Q],0.0032112186
crt_353[G],0.0029684785
crt_74[M],0.0025874746
mdr1_1042[N],0.0018864683
crt_333[T],0.001038072
mdr1_1246[D],0.00025920896
dhfr_59[C],0.0
dhfr_306[S],0.0
crt_72[C],0.0
crt_76[K],0.0
dhfr_16[N],0.0
dhfr_108[S],0.0
