Source_variable,Mean_abs_SHAP
arps10_127-128[VD],0.0959207407892839
exo_415[E],0.0871762658215998
mdr1_184[Y],0.0809845066774411
dhps_540[K],0.0656568723599862
pm2_dup_call,0.0630973597839142
Year,0.0419370096113553
crt_356[I],0.0386017506366187
fd_193[D],0.0372753930777552
dhps_581[A],0.0334171948197569
mdr2_484[T],0.031824235782404
crt_326[N],0.0276800022320017
dhfr_51[N],0.0169894291642563
dhfr_164[I],0.0151266104078216
Fws,0.0124034349210365
mdr1_1226[F],0.0105819401086964
crt_75[N],0.0102939747714756
dhps_436[S],0.009270343517176
crt_93[T],0.0087208351185333
dhps_437[G],0.0086555336154569
crt_371[R],0.0082454431023464
mdr1_dup_call,0.0068641093180191
crt_72-76[CVMNK],0.0057858253627703
crt_333[T],0.0034122721344589
crt_218[I],0.0033416600093287
crt_97[H],0.0033329219029626
crt_220[A],0.003005783871466
dhps_613[A],0.0023019164336478
mdr1_1042[N],0.0011931286963412
crt_271[Q],0.0009785670478686
mdr1_1034[S],0.0006482441239523
mdr1_86[N],0.0005336144884089
crt_74[M],0.0004692495481417
crt_76[K],0.0004295078042177
crt_353[G],0.0003798607583526
mdr1_1246[D],0.0002134842353949
crt_72[C],0.000153152032692
dhfr_59[C],0.0001244464148273
dhfr_108[S],6.98971589075405e-05
dhfr_306[S],2.84056301507753e-05
dhfr_16[N],1.430542694661955e-05
